Underlying,Action,Quantity,Price,Time,Date,Exch.,Account,Order Ref.,Clearing,
CSX,BOT,18,70.65,13:30:00,20190920,ISLAND,DU1507428,,,
ULTA,BOT,5,230.50,13:30:02,20190920,ISLAND,DU1507428,,,
SHW,SLD,2,549.95,13:30:05,20190920,DRCTEDGE,DU1507428,,,
FANG,BOT,13,97.47,13:30:08,20190920,ISLAND,DU1507428,,,
ADI,SLD,11,115.65,13:30:08,20190920,ISLAND,DU1507428,,,
AMGN,SLD,52,196.02,13:30:11,20190920,ISLAND,DU1507428,,,
UHS,SLD,8,149.86,13:30:12,20190920,NYSE,DU1507428,,,
UAL,SLD,113,89.44,13:30:12,20190920,ARCA,DU1507428,,,
SNA,SLD,8,154.81,13:30:12,20190920,ISLAND,DU1507428,,,
MCHP,SLD,13,92.55,13:30:13,20190920,ISLAND,DU1507428,,,
AIZ,SLD,80,126.12,13:30:13,20190920,ARCA,DU1507428,,,
EA,SLD,101,99.78,13:30:13,20190920,BATS,DU1507428,,,
AMG,SLD,15,85.79,13:30:20,20190920,ISLAND,DU1507428,,,
XEC,BOT,25,50.89,13:30:30,20190920,ISLAND,DU1507428,,,
WLTW,SLD,6,197.80,13:30:30,20190920,ISLAND,DU1507428,,,
CAT,SLD,10,129.85,13:30:32,20190920,ISLAND,DU1507428,,,
ADBE,BOT,4,281.82,13:30:33,20190920,ISLAND,DU1507428,,,
MNST,SLD,21,58.67,13:30:41,20190920,ISLAND,DU1507428,,,
BIIB,SLD,42,235.15,13:30:43,20190920,BATS,DU1507428,,,
NOC,SLD,3,375.00,13:30:55,20190920,NYSE,DU1507428,,,
MRK,SLD,15,84.50,13:31:06,20190920,NYSE,DU1507428,,,
FDX,BOT,8,152.75,13:31:13,20190920,ISLAND,DU1507428,,,
KIM,SLD,399,20.23,13:31:16,20190920,ISLAND,DU1507428,,,
KIM,SLD,100,20.23,13:31:16,20190920,BYX,DU1507428,,,
CI,SLD,8,165.01,13:31:21,20190920,NYSE,DU1507428,,,
GWW,BOT,4,292.80,13:31:29,20190920,EDGEA,DU1507428,,,
EL,SLD,6,192.54,13:31:30,20190920,ISLAND,DU1507428,,,
CFG,BOT,35,36.22,13:31:33,20190920,ISLAND,DU1507428,,,
T,SLD,34,37.31,13:31:33,20190920,ISLAND,DU1507428,,,
LUV,SLD,23,55.10,13:31:33,20190920,NYSENAT,DU1507428,,,
DISCA,BOT,47,26.72,13:31:41,20190920,ISLAND,DU1507428,,,
WRK,BOT,35,35.96,13:31:44,20190920,ISLAND,DU1507428,,,
CHD,BOT,17,72.92,13:31:51,20190920,ISLAND,DU1507428,,,
GD,SLD,52,188.43,13:31:54,20190920,CHX,DU1507428,,,
LNC,SLD,100,60.92,13:31:54,20190920,BATS,DU1507428,,,
LNC,SLD,64,60.96,13:31:54,20190920,BYX,DU1507428,,,
CCL,SLD,26,48.53,13:31:55,20190920,EDGEA,DU1507428,,,
SPG,SLD,8,155.37,13:32:04,20190920,ISLAND,DU1507428,,,
KSS,SLD,26,48.83,13:32:22,20190920,ARCA,DU1507428,,,
HRL,SLD,200,43.00,13:32:41,20190920,NYSE,DU1507428,,,
HRL,SLD,32,43.00,13:32:41,20190920,ARCA,DU1507428,,,
CNC,SLD,219,46.57,13:32:58,20190920,CHX,DU1507428,,,
ESS,BOT,4,327.50,13:33:03,20190920,ISLAND,DU1507428,,,
TTWO,BOT,10,130.85,13:33:57,20190920,ISLAND,DU1507428,,,
SEE,SLD,30,41.37,13:34:29,20190920,NYSE,DU1507428,,,
SRE,BOT,9,141.09,13:34:38,20190920,ISLAND,DU1507428,,,
PPG,SLD,85,120.7,13:35:18,20190920,NYSE,DU1507428,,,
DISH,SLD,100,35.37,13:35:29,20190920,ISLAND,DU1507428,,,
COG,SLD,100,18.17,13:35:32,20190920,NYSENAT,DU1507428,,,
COG,SLD,200,18.17,13:35:32,20190920,NYSENAT,DU1507428,,,
COG,SLD,100,18.17,13:35:32,20190920,BYX,DU1507428,,,
COG,SLD,100,18.17,13:35:32,20190920,NYSENAT,DU1507428,,,
COG,SLD,50,18.17,13:35:32,20190920,NYSENAT,DU1507428,,,
EMN,SLD,17,72.61,13:35:37,20190920,CHX,DU1507428,,,
HRB,BOT,53,23.78,13:36:19,20190920,ISLAND,DU1507428,,,
IEX,BOT,7,166.99,13:36:51,20190920,ISLAND,DU1507428,,,
K,BOT,20,63.86,13:39:48,20190920,ISLAND,DU1507428,,,
HCP,BOT,36,35.16,13:41:02,20190920,ISLAND,DU1507428,,,
CHTR,SLD,24,426.57,13:45:23,20190920,ISLAND,DU1507428,,,
WU,BOT,55,22.75,13:48:02,20190920,ISLAND,DU1507428,,,
